easting,northing
576895,5787543
576791,5787560
576682,5787584
576598,5787591
576500,5787610
576405,5787626
578256,5786875
578198,5786795
578148,5786716
578088,5786629
578032,5786546
577974,5786468
578904,5787239
578778,5787252
578677,5787264
578580,5787283
578485,5787297
578385,5787314
579295,5786565
579303,5786670
579318,5786767
579337,5786864
579350,5786963
579367,5787060
577342,5784917
577356,5785024
577381,5785139
577395,5785239
577424,5785337
577445,5785439
576505,5783313
576407,5783328
576308,5783348
576216,5783376
576116,5783390
576019,5783407
579246,5783334
579332,5783317
579436,5783295
579529,5783270
579627,5783250
579724,5783227
578663,5781293
578677,5781401
578694,5781491
578715,5781587
578736,5781684
578755,5781784
579360,5785042
579459,5785028
579557,5785012
579658,5784995
579758,5784971
579851,5784949
578985,5784334
578890,5784353
578795,5784373
578691,5784385
578594,5784405
578496,5784425
581469,5783623
581573,5783603
581680,5783583
581766,5783563
581861,5783544
581957,5783525
582246,5781633
583250,5783567
583269,5783665
583291,5783769
583314,5783862
583329,5783960
582230,5781524
582213,5781438
582194,5781343
582173,5781246
582160,5781141
582143,5781047
581292,5781575
581272,5781479
581258,5781380
581237,5781281
581220,5781186
581207,5781083
577211,5786093
577227,5786197
577247,5786290
577264,5786388
577283,5786487
577303,5786584
577387,5784527
577373,5784423
577356,5784335
577333,5784235
577323,5784139
577301,5784038
581424,5784473
581407,5784383
581380,5784284
581362,5784189
581333,5784088
581313,5783992
581435,5782796
581334,5782811
581237,5782824
581136,5782858
581047,5782876
580941,5782889
580590,5781166
580611,5781270
580634,5781364
580653,5781462
580666,5781561
580685,5781655
582846,5781186
582860,5781283
582880,5781383
582894,5781483
582915,5781576
582929,5781676
574455,5788302
574386,5788372
574309,5788451
574244,5788518
574174,5788596
574112,5788665
582194,5782748
582262,5782818
582337,5782892
582402,5782965
582467,5783034
582532,5783115
574706,5788239
574790,5788292
574866,5788344
574964,5788406
575043,5788455
575126,5788505
575207,5787632
575295,5787575
575375,5787527
575458,5787478
575556,5787424
575632,5787363
575521,5787153
575425,5787139
575330,5787113
575228,5787084
575138,5787059
575033,5787033
576076,5786474
575977,5786493
575887,5786515
575789,5786538
575691,5786564
575596,5786581
576207,5786211
576312,5786247
576402,5786274
576497,5786304
576597,5786332
576689,5786359
576190,5785247
576267,5785320
576336,5785387
576405,5785457
576475,5785538
576535,5785617
578197,5784744
578275,5784806
578353,5784868
578428,5784937
578505,5784998
578583,5785059
575713,5784193
575811,5784192
575913,5784200
576021,5784202
576123,5784209
576223,5784210
579810,5784573
579878,5784494
579938,5784419
580006,5784340
580072,5784268
580142,5784196
580594,5784080
580571,5783986
580539,5783883
580520,5783793
580497,5783694
580470,5783594
579029,5783731
578944,5783781
578863,5783841
578785,5783897
578703,5783954
578626,5784010
579656,5783489
579758,5783531
579832,5783564
579932,5783613
580036,5783671
580112,5783699
576028,5783186
575916,5783204
575815,5783215
575719,5783223
575620,5783242
576124,5783177
583013,5783485
582927,5783423
582856,5783365
582775,5783304
582694,5783247
582621,5783172
575032,5782732
574968,5782790
574882,5782863
574810,5782918
574724,5782986
574646,5783037
576703,5782733
576785,5782785
576872,5782856
576951,5782902
577031,5782960
577112,5783014
578129,5782774
578133,5782874
578143,5782971
578153,5783072
578164,5783181
578168,5783276
579138,5781844
579235,5781846
579326,5781860
579438,5781854
579537,5781849
579634,5781835
